Número matricular; Nombre Alumno;Hora Alta;Hora de modificación;DNI
10001;Francisco Javier Primero Primero;13/12/2015 13:23:32;13/12/2015 13:23:32;31000001A
10002;Abel Primero Segundo;13/12/2015 13:23:32;13/12/2015 13:25:32;31000002A
10003;Inmaculada Primero Tercero;13/12/2015 13:23:40;13/12/2015 14:23:32;31000003A
10004;Fernando Primero Cuarto;13/12/2015 13:23:32;15/12/2015 13:23:32;31000004U
10005;José Luis Primero Quinto;13/12/2015 13:23:32;16/12/2015 13:23:32;31000005V
10006;Gabriel Segundo Primero;13/12/2015 14:23:32;18/12/2015 13:23:32;31000006X
10007;José Antonio Segundo Segundo;13/12/2015 11:23:32;19/12/2015 13:23:32;31000007A
10008;Óscar Segundo Cuarto;13/12/2015 13:23:32;13/12/2015 17:23:32;31000008J
10009;Javier Segundo Tercero;13/12/2015 13:23:34;13/12/2015 16:23:32;31000009P
10010;Clemente Tercero Segundo;13/12/2015 13:23:33;13/12/2015 17:23:32;31000010C
10011;Ignacio Tercero Tercero;13/12/2015 13:23:31;13/12/2015 18:23:32;31000011A
10012;José Luis Tercero Primero;13/12/2015 13:23:31;13/12/2015 19:23:32;32000002B
